NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,MURID,GURU,PRASEKOLAH,INTEGRASI,KOORDINATXX,KOORDINATYY
PERAK,PPD BATANG PADANG,SMK,AEA0033,SEKOLAH MENENGAH KEBANGSAAN HAMID KHAN,JALAN DAMAI,35000,TAPAH,054011181,054014200,AEA0033@moe.edu.my,Bandar,554,58,TIADA,ADA,101.259244,4.192254
PERAK,PPD BATANG PADANG,SMK,AEA0035,SEKOLAH MENENGAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,054322303,054321125,AEA0035@moe.edu.my,Luar Bandar,456,45,TIADA,ADA,101.3875117,3.922807277
PERAK,PPD BATANG PADANG,SMK,AEA0037,SEKOLAH MENENGAH KEBANGSAAN (FELDA) BESOUT,FELDA GUNUNG BESOUT 1,35600,SUNGKAI,054311721,054313292,AEA0037@moe.edu.my,Luar Bandar,488,60,ADA,ADA,101.289064,3.843729
PERAK,PPD BATANG PADANG,SMK,AEA0038,SEKOLAH MENENGAH KEBANGSAAN SUNGAI KERUIT,SIMPANG SUNGAI KLAH,35600,SUNGKAI,054388308,054386443,AEA0038@moe.edu.my,Luar Bandar,289,41,ADA,ADA,101.3226791,3.979733084
PERAK,PPD BATANG PADANG,SMK,AEA0039,SEKOLAH MENENGAH KEBANGSAAN AIR KUNING,JALAN DEGONG,31920,MAMBANG DI AWAN,054789879,054780684,AEA0039@moe.edu.my,Bandar,658,57,ADA,ADA,101.140212,4.196783902
PERAK,PPD BATANG PADANG,SMK,AEA0040,SEKOLAH MENENGAH KEBANGSAAN CHENDERIANG,"KM 2, JALAN TEMOH TAPAH",35350,TEMOH,054199328,054190145,AEA0040@moe.edu.my,Bandar,502,49,TIADA,ADA,101.2065954,4.234802516
PERAK,PPD BATANG PADANG,KT6,AEA0041,KOLEJ TINGKATAN ENAM TAPAH,JALAN BIDOR LAMA,35000,TAPAH,054013677,054011296,AEA0041@moe.edu.my,Bandar,125,43,TIADA,ADA,101.2675763,4.180286378
PERAK,PPD BATANG PADANG,SMK,AEA0042,SEKOLAH MENENGAH KEBANGSAAN BIDOR,JALAN TELUK INTAN,35500,BIDOR,054347127,054340400,AEA0042@moe.edu.my,Bandar,646,62,ADA,ADA,101.2763352,4.11609184
PERAK,PPD BATANG PADANG,SBP,AEA0043,SEKOLAH MENENGAH SAINS TAPAH,"BATU 2, JALAN PAHANG",35000,TAPAH,054018745,054018743,AEA0043@moe.edu.my,Bandar,846,65,TIADA,ADA,101.281601,4.218959
PERAK,PPD MANJUNG,SMK,AEA1109,SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,SERI MANJUNG,32040,SERI MANJUNG,056881372,056887133,AEA1109@moe.edu.my,Bandar,1196,106,TIADA,ADA,100.664386,4.18688184
